time0	time1	time2	D.value
0	0	1	0
0	0	1	0
0	0	2	0
0	0	2	0
0	0	4	0
0	0	4	0
0	0	5	0
0	0	5	0
0	0	8	0.0045871559633027525
0	0	8	0
0	0	11	0
0	0	11	0
0	1	1	0
1	1	2	0
0	1	2	0
1	1	4	0
0	1	4	0
1	1	5	0
0	1	5	0
1	1	8	0
0	1	8	0
1	1	11	0
0	1	11	0
0	1	2	0
1	1	2	0
0	1	4	0
1	1	4	0
0	1	5	0
1	1	5	0
0	1	8	0.004545454545454545
1	1	8	0
0	1	11	0
1	1	11	0
0	2	2	0
2	2	4	0
0	2	4	0
2	2	5	0
0	2	5	0
2	2	8	0.004545454545454545
0	2	8	0
2	2	11	0
0	2	11	0
0	2	4	0
2	2	4	0
0	2	5	0
2	2	5	0
0	2	8	0
2	2	8	0
0	2	11	0
2	2	11	0
0	4	4	0
4	4	5	0
0	4	5	0
4	4	8	0.004629629629629629
0	4	8	0
4	4	11	0
0	4	11	0
0	4	5	0
4	4	5	0
0	4	8	0.004545454545454545
4	4	8	0
0	4	11	0
4	4	11	0
0	5	5	0
5	5	8	0
0	5	8	0
5	5	11	0
0	5	11	0
0	5	8	0
5	5	8	0
0	5	11	0
5	5	11	0
0	8	8	0
8	8	11	0.0045871559633027525
0	8	11	0.004545454545454545
0	8	11	0
8	8	11	0
0	11	11	0
